Review
"Sejauh ini koleksi buku belum terlalu lengkap baik berdasarkan genre/penulisnya, filter koleksi cuma sampai G & kebanyakan masih buku non-fiksi, halaman menu utama juga agak lambat menampilkan judul selanjutnya saat di scrolling, halaman para tokoh juga kebanyakan hanya dari jajaran pemerintah (ada baiknya dibuat mengenai penulis besar beserta informasi mengenai penerbit mayor), & sebaiknya tambahkan fitur 'koleksi pribadi' untuk menyimpan buku yg ingin dipinjam. Selain itu membaca disini mudah."
"Sering bermasalah dgn sinyal, padahal sinyal saya tdk ada masalah, loading suka gagal. Kemudian readernya kurang nyaman, scroll susah dan tdk ada pilihan cari halaman di appnya, di pc ada, serta fitur cari kata. Dan tambahkan fitur wishlist agar bisa dipakai walaupun stok buku blm habis, karena wishlistnya baru bisa jika stok buku habis saja. Terima kasih."
"edit 2025: makin banyak buku yg ""terlalu ringan"". Setelah download ulang friendlistku hilang, tier socializer juga tidak ada, seperti kembali jadi pengguna baru. itu friendlist meski ga banyak ngumpulinnya bertahun-tahun! Peningkatan: ada rak per kategori di daftar pinjam. filteringnya lumayan. . 2020: Koleksi buku cukup banyak. tidak bisa berharap lebih, setidaknya kita bisa membaca lebih dulu, pilih yang bagus baru beli buku fisiknya. Ini sangat membantu untuk menghindari salah pilih buku."
"Bagus! Mungkin banyak yang bilang tidak bisa masuk dan sering ngelag. Tapi bagi saya, aplikasi ini sangat bagus! Masuknya sekarang sudah tidak ngelag lagi, mungkin kalian bisa mencobanya lagi sekarang. Bacaan bacaan yang ada juga keren keren. Tapi tidak ada yang sempurna bukan? Pasti selalu ada kekurangan, contohnya, jumlah copy yang terlalu sedikit, waktu peminjaman yang terlalu lama (orang lain jadi susah pinjam). But, overall aplikasi ini bagus buat yang suka membaca! Thanks Ipusnas!"
"Aplikasinya bagus banget, cuman ada beberapa kekurangan menurut saya. Yang paling mengganggu itu ketika masuk aplikasinya kadang error padahal jaringan saya bagus, sisanya berfungsi sesuai fungsinya. saya kasih bintang 3, kalo permasalahan nya diatasi saya kasih bintang 5 deh"
"Semenjak update setelah pilpres, malah makin nggak karuan. 1. Pencarian dari laman depan cuma bisa menggunakan judul buku, audio, video, dan user. Jadi, kalau menggunakan kata kunci nama penulis nggak bakal ketemu. 2. Kalau mau mencari karya penulis tertentu mesti masuk ke filter kategori lalu pilih ""pengarang"". Sialnya, nama pengarang tidak tersedia alfabetis alias amburadul, juga nggak ada kolom pencarian. Jadi mesti gulir pelan-pelan sambil pelototin tiap barisnya kalau nggak mau kelewatan."
"lumayan bagus sihh, banyak koleksi bukunya, buku madah dicari, bisa baca offline, banyak buku/novel yang bagus 🤩. tapi ada beberapa yang harus ditingkatkan lagi sihh seperti kalau mau menyoroti teks agak susah yaa, antri bukunya lama bangett 😭😭 kalau bisa sih copy bukunya dibanyakin yaa."
"Aplikasinya lama loading bahkan gabisa masuk sama sekali hanya berhenti di tampilan awal. Bukunya lumayan lengkap. Juga kurangnya ketersediaan copy-an beberapa buku, membuat antrian sangat banyak."
"aplikasi yg sebenernya sangat bagus karena dengan aplikasi ini kita dapat membaca berbagai buku secara gratis dimanapun dan kapanpun, namun masih ada beberapa kekurangan seperti sampul buku ngga mau muncul dan koleksi buku juga kurang lengkap. mungkin kedepannya bisa ditambahin fitur download permanen jangan hanya pinjang saja jadi ketika kita lanjut membaca tanpa ada batas waktu yg ditentukan"
"Bagus sekali aplikasi ini. Maret 2025, saya baru tau kalau ada aplikasi perpustakaan yg lumayan lengkap bukunya seperti ini. Mudah diakses dan fitur mudah dipahami. Terimakasih yg membuat aplikasi ini, sangat membantu saya yg senang baca buku. Namun sayangnya, tidak bisa menyembunyikan judul buku yg pernah kita baca di riwayat. Malah bisa dilihat oleh orang yg mengikuti kita. Krn ada judul yg belum saatnya diketahui oleh anak umur tertentu"
"Sebelumnya ipusnas cukup bagus, lancar buat baca. Tapi sekarang gimana ya min, udah bisa pinjam buku, tapi ga bisa diunduh, padahal sinyal lancar. Gimana min, tolong solusinya. Kadang pas buka apk nya juga harus login ulang, padahal beberapa jam lalu baru dibuka apk nya."
"Memudahkan akses informasi lewat perpustakaan. Warga Indonesia dapat dengan mudah mengakses lewat jarak jauh, sejauh saya menggunakan iPusnas tidak ada bug yang terlalu mengganggu sih ya. Saran saja, mungkin iPusnas bisa ditambah mode gelap. Terima kasih Perpusnas!!!"
"well gak Nemu masalah berarti sih, semuanya berjalan baik... cuma satu tolong tambahan fitur lock modenya kalau mau swipe, scroll, atau lainya. ini nekan sekali malah ganti mode bikin pusing."
"Terakhir pakai aplikasi ini sekitar setahun lalu, tapi perkembangannya luar biasa. Untuk log in sudah bisa pakai google langsung, jadi lebih mudah. Sudah ada penambahan fitur filter yang bisa jadi nilai plus, cuma sayangnya masih manual dalam pemilihan. Untuk masuk aplikasi, sejauh ini nggak ada kendala. Loading pun tidak butuh waktu lama saat membukanya menggunakan wifi. Overall, lumayan."
"Ga tau gimna lagi, males baget sama ini aplikasi. Sering bnaget log out, mana kadang ngebug mau unduh buku ga bisa, kadang mau pinjem buku ga bisa, mau cari buku di filter ga bisa. Maunya apa sih, cape banget mau ningkatin literasi aja sesusah ini, emang kayknya harus cari aplikasi lain"
"aplikasi udah ngga berat, ga banyak bug, cuma kebanyakan buku yang ingin dipinjam selalu antri dan tidak pernah tersedia, sebaiknya buku dapat disediakan untuk kuota yang banyak karena penggunanya dari seluruh indonesia, diharapkan bisa diperluas lagi"
"1. Tolong perbanyak lagi koleksi bukunya. 2. Durasi peminjaman yang terlalu lama, solusinya dua: kurangi waktunya dari 15 hari menjadi 7 hari, atau perbanyak lagi copy an bukunya. 3. Pliss sorotan teks nya sering ke acak dan tiba-tiba ke isi sendiri, udah capek-capek diatur eh malah jadi berantakan. Tolong dong ditanggapi dan segera diperbaiki min, demi perbaikan budaya literasi bangsa ini."
"aplikasinya sudah bagus dan menyenangkan bisa meminjam dan membaca buku, tapi ntah kenapa setelah di pinjam dan di unduh ketika ingin membaca di kemudian hari, harus di unduh lagi?? itu cukup menganggu harusnya jika sudah di unduh sekali bisa baca lagi tanpa harus mengunduh buku yang di pinjam berkali-kali. saya harap aplikasinya bisa lebih di tingkatkan."
